language	lemma	left	right	left_tokens	right_tokens
es	información	información	informaciones	informacion	inform
es	información	informacion	informaciones	informacion	inform
es	alemán	alemán	alemanes	alem	aleman
es	alemán	alemán	alemana	alem	aleman
es	alemán	alemán	alemanas	alem	aleman
es	alemán	aleman	alemanes	alem	aleman
es	alemán	aleman	alemana	alem	aleman
es	alemán	aleman	alemanas	alem	aleman
es	capitán	capitán	capitanes	capit	capitan
es	año	año	años	ano	anos
es	año	año	anos	ano	anos
es	año	ano	años	ano	anos
es	año	ano	anos	ano	anos
es	ciudad	ciudad	ciudades	ciud	ciudad
es	joven	joven	jóvenes	jov	joven
es	imagen	imagen	imágenes	imag	imagen
es	examen	examen	exámenes	exam	examen
nl	privé	privé	privés	priv	prives
nl	privé	privé	prives	priv	prives
nl	privé	prive	privés	priv	prives
nl	privé	prive	prives	priv	prives
nl	huis	huis	huizen	huis	huiz
nl	bedrijf	bedrijf	bedrijven	bedrijf	bedrijv
nl	gemeente	gemeente	gemeentes	gemeent	gemeentes
nl	kind	kind	kinderen	kind	kinder
nl	stad	stad	steden	stad	sted
nl	café	café	cafés	caf	cafes
nl	woning	woning	woningetje	woning	woningetj
nl	woning	woningen	woningetje	woning	woningetj
pt	informação	informação	informações	informaca	informaco
pt	informação	informação	informacoes	informaca	informaco
pt	informação	informacao	informações	informaca	informaco
pt	informação	informacao	informacoes	informaca	informaco
pt	administração	administração	administrações	administraca	administraco
pt	administração	administração	administracoes	administraca	administraco
pt	administração	administracao	administrações	administraca	administraco
pt	administração	administracao	administracoes	administraca	administraco
pt	coração	coração	corações	coraca	coraco
pt	coração	coração	coracoes	coraca	coraco
pt	coração	coracao	corações	coraca	coraco
pt	coração	coracao	coracoes	coraca	coraco
pt	decisão	decisão	decisões	decisa	deciso
pt	decisão	decisão	decisoes	decisa	deciso
pt	decisão	decisao	decisões	decisa	deciso
pt	decisão	decisao	decisoes	decisa	deciso
pt	questão	questão	questões	questa	questo
pt	questão	questão	questoes	questa	questo
pt	questão	questao	questões	questa	questo
pt	questão	questao	questoes	questa	questo
pt	situação	situação	situações	situaca	situaco
pt	situação	situação	situacoes	situaca	situaco
pt	situação	situacao	situações	situaca	situaco
pt	situação	situacao	situacoes	situaca	situaco
