language	lemma	form	recipe	tokens
es	información	información	A	informacion
es	información	informacion	A	informacion
es	información	informaciones	A	inform
es	administración	administración	A	administracion
es	administración	administracion	A	administracion
es	alemán	alemán	A	alem
es	alemán	aleman	A	alem
es	alemán	alemanes	A	aleman
es	alemán	alemana	A	aleman
es	alemán	alemanas	A	aleman
es	capitán	capitán	A	capit
es	capitán	capitanes	A	capitan
es	año	año	A	ano
es	año	ano	A	ano
es	año	años	A	anos
es	año	anos	A	anos
es	ciudad	ciudad	A	ciud
es	ciudad	ciudades	A	ciudad
es	joven	joven	A	jov
es	joven	jóvenes	A	joven
es	imagen	imagen	A	imag
es	imagen	imágenes	A	imagen
es	examen	examen	A	exam
es	examen	exámenes	A	examen
es	página	página	A	pagin
es	página	pagina	A	pagin
es	página	páginas	A	pagin
es	página	paginas	A	pagin
es	número	número	A	numer
es	número	numero	A	numer
es	número	números	A	numer
es	número	numeros	A	numer
es	código	código	A	codig
es	código	codigo	A	codig
es	código	códigos	A	codig
es	código	codigos	A	codig
es	teléfono	teléfono	A	telefon
es	teléfono	telefono	A	telefon
es	teléfono	teléfonos	A	telefon
es	teléfono	telefonos	A	telefon
es	artículo	artículo	A	articul
es	artículo	articulo	A	articul
es	artículo	artículos	A	articul
es	artículo	articulos	A	articul
es	razón	razón	A	razon
es	razón	razon	A	razon
es	razón	razones	A	razon
es	dirección	dirección	A	direccion
es	dirección	direccion	A	direccion
es	dirección	direcciones	A	direccion
es	estación	estación	A	estacion
es	estación	estacion	A	estacion
es	estación	estaciones	A	estacion
es	región	región	A	region
es	región	region	A	region
es	región	regiones	A	region
es	sección	sección	A	seccion
es	sección	seccion	A	seccion
es	sección	secciones	A	seccion
es	versión	versión	A	version
es	versión	version	A	version
es	versión	versiones	A	version
es	información	información	Aplus	informacion
es	información	informacion	Aplus	informacion
es	información	informaciones	Aplus	inform
es	administración	administración	Aplus	administracion
es	administración	administracion	Aplus	administracion
es	alemán	alemán	Aplus	alem
es	alemán	aleman	Aplus	alem
es	alemán	alemanes	Aplus	aleman
es	alemán	alemana	Aplus	aleman
es	alemán	alemanas	Aplus	aleman
es	capitán	capitán	Aplus	capit
es	capitán	capitanes	Aplus	capitan
es	año	año	Aplus	ano
es	año	ano	Aplus	ano
es	año	años	Aplus	anos
es	año	anos	Aplus	anos
es	ciudad	ciudad	Aplus	ciud
es	ciudad	ciudades	Aplus	ciudad
es	joven	joven	Aplus	jov
es	joven	jóvenes	Aplus	joven
es	imagen	imagen	Aplus	imag
es	imagen	imágenes	Aplus	imagen
es	examen	examen	Aplus	exam
es	examen	exámenes	Aplus	examen
es	página	página	Aplus	pagin
es	página	pagina	Aplus	pagin
es	página	páginas	Aplus	pagin
es	página	paginas	Aplus	pagin
es	número	número	Aplus	numer
es	número	numero	Aplus	numer
es	número	números	Aplus	numer
es	número	numeros	Aplus	numer
es	código	código	Aplus	codig
es	código	codigo	Aplus	codig
es	código	códigos	Aplus	codig
es	código	codigos	Aplus	codig
es	teléfono	teléfono	Aplus	telefon
es	teléfono	telefono	Aplus	telefon
es	teléfono	teléfonos	Aplus	telefon
es	teléfono	telefonos	Aplus	telefon
es	artículo	artículo	Aplus	articul
es	artículo	articulo	Aplus	articul
es	artículo	artículos	Aplus	articul
es	artículo	articulos	Aplus	articul
es	razón	razón	Aplus	razon
es	razón	razon	Aplus	razon
es	razón	razones	Aplus	razon
es	dirección	dirección	Aplus	direccion
es	dirección	direccion	Aplus	direccion
es	dirección	direcciones	Aplus	direccion
es	estación	estación	Aplus	estacion
es	estación	estacion	Aplus	estacion
es	estación	estaciones	Aplus	estacion
es	región	región	Aplus	region
es	región	region	Aplus	region
es	región	regiones	Aplus	region
es	sección	sección	Aplus	seccion
es	sección	seccion	Aplus	seccion
es	sección	secciones	Aplus	seccion
es	versión	versión	Aplus	version
es	versión	version	Aplus	version
es	versión	versiones	Aplus	version
es	información	información	B	informacion
es	información	informacion	B	informacion
es	información	informaciones	B	inform
es	administración	administración	B	administracion
es	administración	administracion	B	administracion
es	alemán	alemán	B	alem
es	alemán	aleman	B	alem
es	alemán	alemanes	B	aleman
es	alemán	alemana	B	aleman
